This data is provided by:
The Ocean Tracking Network
Source:
https://members.oceantrack.org/data/discovery/bypublic.htm

species,count,min_time,max_time
madagascar_whale_sharks,48,2022-08-15T00:00:00Z,2024-12-20T00:00:00Z
salmon_sharks,25,2009-08-17T00:00:00Z,2011-08-16T00:00:00Z
sevengill_sharks,29,2024-05-12T00:00:00Z,2024-05-18T00:00:00Z
teiteora_sharks,53,2021-10-10T00:00:00Z,2024-10-19T00:00:00Z
white_sharks_acoustic,1278,2009-10-13T00:00:00Z,2025-05-16T00:00:00Z
